year,title,url
2026,A Lightweight Library for Energy-Based Joint-Embedding Predictive Architectures,https://arxiv.org/pdf/2602.03604.pdf
2026,AP-OOD: Attention Pooling for Out-of-Distribution Detection,https://arxiv.org/pdf/2602.06031.pdf
2026,ARC Prize 2025: Technical Report,https://arxiv.org/pdf/2601.10904.pdf
2026,Discrete Feynman-Kac Correctors,https://arxiv.org/pdf/2601.10403.pdf
2026,Frontier AI Auditing: Toward Rigorous Third-Party Assessment of Safety and Security Practices at Leading AI Companies,https://arxiv.org/pdf/2601.11699.pdf
2026,Generative Modeling via Drifting,https://arxiv.org/pdf/2602.04770.pdf
2026,In-Context Reinforcement Learning through Bayesian Fusion of Context and Value Prior,https://arxiv.org/pdf/2601.03015.pdf
2026,Learning Latent Action World Models In The Wild,https://arxiv.org/pdf/2601.05230.pdf
2026,Mind the Temperature Gap: The Role of Pit Thermal Energy Storage in a Sector-Coupled Energy System with High-Temperature District Heating,https://arxiv.org/pdf/2601.07647.pdf
2026,Mineral Detection of Cosmic-Ray Boosted Dark Matter,https://arxiv.org/pdf/2601.13949.pdf
2026,One-step Latent-free Image Generation with Pixel Mean Flows,https://arxiv.org/pdf/2601.22158.pdf
2026,Parallel Stochastic Gradient-Based Planning for World Models,https://arxiv.org/pdf/2602.00475.pdf
2026,PointWorld: Scaling 3D World Models for In-The-Wild Robotic Manipulation,https://arxiv.org/pdf/2601.03782.pdf
2026,Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations,https://arxiv.org/pdf/2602.01456.pdf
2026,Scaling Text-to-Image Diffusion Transformers with Representation Autoencoders,https://arxiv.org/pdf/2601.16208.pdf
2026,Shaping capabilities with token-level data filtering,https://arxiv.org/pdf/2601.21571.pdf
2026,Synthesizable Molecular Generation via Soft-constrained GFlowNets with Rich Chemical Priors,https://arxiv.org/pdf/2602.04119.pdf
2026,VideoWeave: A Data-Centric Approach for Efficient Video Understanding,https://arxiv.org/pdf/2601.06309.pdf
2025,A Comedy of Estimators: On KL Regularization in RL Training of LLMs,https://arxiv.org/pdf/2512.21852.pdf
2025,A Definition of AGI,https://arxiv.org/pdf/2510.18212.pdf
2025,A physics-based data-driven model for CO$_2$ gas diffusion electrodes to drive automated laboratories,https://arxiv.org/pdf/2502.06323.pdf
2025,A Real-to-Sim-to-Real Approach to Robotic Manipulation with VLM-Generated Iterative Keypoint Rewards,https://arxiv.org/pdf/2502.08643.pdf
2025,A scalable gene network model of regulatory dynamics in single cells,https://arxiv.org/pdf/2503.20027.pdf
2025,Active Attacks: Red-teaming LLMs via Adaptive Environments,https://arxiv.org/pdf/2509.21947.pdf
2025,Adaptive Inference-Time Scaling via Cyclic Diffusion Search,https://arxiv.org/pdf/2505.14036.pdf
2025,Addressing Pitfalls in the Evaluation of Uncertainty Estimation Methods for Natural Language Generation,https://arxiv.org/pdf/2510.02279.pdf
2025,Adsorption energies are necessary but not sufficient to identify good catalysts,https://arxiv.org/pdf/2512.05938.pdf
2025,Advancing Science- and Evidence-based AI Policy,https://arxiv.org/pdf/2508.02748.pdf
2025,AlignVLM: Bridging Vision and Language Latent Spaces for Multimodal Document Understanding,https://arxiv.org/pdf/2502.01341.pdf
2025,ARC Is a Vision Problem!,https://arxiv.org/pdf/2511.14761.pdf
2025,ARC-AGI-2: A New Challenge for Frontier AI Reasoning Systems,https://arxiv.org/pdf/2505.11831.pdf
2025,Assessing Adaptive World Models in Machines with Novel Games,https://arxiv.org/pdf/2507.12821.pdf
2025,Assessing SAM for Tree Crown Instance Segmentation from Drone Imagery,https://arxiv.org/pdf/2503.20199.pdf
2025,Attention Sinks and Compression Valleys in LLMs are Two Sides of the Same Coin,https://arxiv.org/pdf/2510.06477.pdf
2025,Average-reward reinforcement learning in semi-Markov decision processes via relative value iteration,https://arxiv.org/pdf/2512.06218.pdf
2025,Back to Basics: Let Denoising Generative Models Denoise,https://arxiv.org/pdf/2511.13720.pdf
2025,Back to the Features: DINO as a Foundation for Video World Models,https://arxiv.org/pdf/2507.19468.pdf
2025,Balancing Cost Savings and Import Dependence in Germany's Industry Transformation,https://arxiv.org/pdf/2510.00918.pdf
2025,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,https://arxiv.org/pdf/2503.05652.pdf
2025,Bidirectional Normalizing Flow: From Data to Noise and Back,https://arxiv.org/pdf/2512.10953.pdf
2025,Bringing SAM to new heights: Leveraging elevation data for tree crown segmentation from drone imagery,https://arxiv.org/pdf/2506.04970.pdf
2025,Cambrian-S: Towards Spatial Supersensing in Video,https://arxiv.org/pdf/2511.04670.pdf
2025,Can Safety Fine-Tuning Be More Principled? Lessons Learned from Cybersecurity,https://arxiv.org/pdf/2501.11183.pdf
2025,Caratheodory sets in the tridisk,https://arxiv.org/pdf/2505.05746.pdf
2025,Catalyst GFlowNet for electrocatalyst design: A hydrogen evolution reaction case study,https://arxiv.org/pdf/2510.02142.pdf
2025,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,https://arxiv.org/pdf/2507.11473.pdf
2025,Chain-of-Modality: Learning Manipulation Programs from Multimodal Human Videos with Vision-Language-Models,https://arxiv.org/pdf/2504.13351.pdf
2025,Closing the Train-Test Gap in World Models for Gradient-Based Planning,https://arxiv.org/pdf/2512.09929.pdf
2025,DataRater: Meta-Learned Dataset Curation,https://arxiv.org/pdf/2505.17895.pdf
2025,Denoising Hamiltonian Network for Physical Reasoning,https://arxiv.org/pdf/2503.07596.pdf
2025,Diffuse and Disperse: Image Generation with Representation Regularization,https://arxiv.org/pdf/2506.09027.pdf
2025,Discovering Latent Graphs with GFlowNets for Diverse Conditional Image Generation,https://arxiv.org/pdf/2510.22107.pdf
2025,Dream2Flow: Bridging Video Generation and Open-World Manipulation with 3D Object Flow,https://arxiv.org/pdf/2512.24766.pdf
2025,EarthView: A Large Scale Remote Sensing Dataset for Self-Supervision,https://arxiv.org/pdf/2501.08111.pdf
2025,Efficient Regression-Based Training of Normalizing Flows for Boltzmann Generators,https://arxiv.org/pdf/2506.01158.pdf
2025,ENACT: Evaluating Embodied Cognition with World Modeling of Egocentric Interaction,https://arxiv.org/pdf/2511.20937.pdf
2025,Expert-Guided LLM Reasoning for Battery Discovery: From AI-Driven Hypothesis to Synthesis and Characterization,https://arxiv.org/pdf/2507.16110.pdf
2025,Exploring Diffusion Transformer Designs via Grafting,https://arxiv.org/pdf/2506.05340.pdf
2025,Extendable Planning via Multiscale Diffusion,https://arxiv.org/pdf/2503.20102.pdf
2025,FALCON: Few-step Accurate Likelihoods for Continuous Flows,https://arxiv.org/pdf/2512.09914.pdf
2025,Fast Monte Carlo Tree Diffusion: 100x Speedup via Parallel Sparse Planning,https://arxiv.org/pdf/2506.09498.pdf
2025,Flow to the Mode: Mode-Seeking Diffusion Autoencoders for State-of-the-Art Image Tokenization,https://arxiv.org/pdf/2503.11056.pdf
2025,Forgotten Polygons: Multimodal Large Language Models are Shape-Blind,https://arxiv.org/pdf/2502.15969.pdf
2025,Fractal Generative Models,https://arxiv.org/pdf/2502.17437.pdf
2025,From Generated Human Videos to Physically Plausible Robot Trajectories,https://arxiv.org/pdf/2512.05094.pdf
2025,From Tokens to Thoughts: How LLMs and Humans Trade Compression for Meaning,https://arxiv.org/pdf/2505.17117.pdf
2025,Gaussian Embeddings: How JEPAs Secretly Learn Your Data Density,https://arxiv.org/pdf/2510.05949.pdf
2025,"Gemini 2.5: Pushing the Frontier with Advanced Reasoning, Multimodality, Long Context, and Next Generation Agentic Capabilities",https://arxiv.org/pdf/2507.06261.pdf
2025,"Gemini Robotics 1.5: Pushing the Frontier of Generalist Robots with Advanced Embodied Reasoning, Thinking, and Motion Transfer",https://arxiv.org/pdf/2510.03342.pdf
2025,Gemini Robotics: Bringing AI into the Physical World,https://arxiv.org/pdf/2503.20020.pdf
2025,Gemma 3 Technical Report,https://arxiv.org/pdf/2503.19786.pdf
2025,GET-USE: Learning Generalized Tool Usage for Bimanual Mobile Manipulation via Simulated Embodiment Extensions,https://arxiv.org/pdf/2510.25754.pdf
2025,Improved Mean Flows: On the Challenges of Fastforward Generative Models,https://arxiv.org/pdf/2512.02012.pdf
2025,In Which Areas of Technical AI Safety Could Geopolitical Rivals Cooperate?,https://arxiv.org/pdf/2504.12914.pdf
2025,In-Context Parametric Inference: Point or Distribution Estimators?,https://arxiv.org/pdf/2502.11617.pdf
2025,International AI Safety Report,https://arxiv.org/pdf/2501.17805.pdf
2025,International AI Safety Report 2025: First Key Update: Capabilities and Risk Implications,https://arxiv.org/pdf/2510.13653.pdf
2025,International AI Safety Report 2025: Second Key Update: Technical Safeguards and Risk Management,https://arxiv.org/pdf/2511.19863.pdf
2025,Intuitive physics understanding emerges from self-supervised pretraining on natural videos,https://arxiv.org/pdf/2502.11831.pdf
2025,Is Noise Conditioning Necessary for Denoising Generative Models?,https://arxiv.org/pdf/2502.13129.pdf
2025,JEPA as a Neural Tokenizer: Learning Robust Speech Representations with Density Adaptive Attention,https://arxiv.org/pdf/2512.07168.pdf
2025,Latent Veracity Inference for Identifying Errors in Stepwise Reasoning,https://arxiv.org/pdf/2505.11824.pdf
2025,Layer by Layer: Uncovering Hidden Representations in Language Models,https://arxiv.org/pdf/2502.02013.pdf
2025,Learning Decision Trees as Amortized Structure Inference,https://arxiv.org/pdf/2503.06985.pdf
2025,Learning from Reward-Free Offline Data: A Case for Planning with Latent Dynamics Models,https://arxiv.org/pdf/2502.14819.pdf
2025,Learning What Matters: Steering Diffusion via Spectrally Anisotropic Forward Noise,https://arxiv.org/pdf/2510.09660.pdf
2025,LeJEPA: Provable and Scalable Self-Supervised Learning Without the Heuristics,https://arxiv.org/pdf/2511.08544.pdf
2025,LLM-JEPA: Large Language Models Meet Joint Embedding Predictive Architectures,https://arxiv.org/pdf/2509.14252.pdf
2025,Market Integration Pathways for Enhanced Geothermal Systems in Europe,https://arxiv.org/pdf/2501.06600.pdf
2025,Mean Flows for One-step Generative Modeling,https://arxiv.org/pdf/2505.13447.pdf
2025,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,https://arxiv.org/pdf/2510.18316.pdf
2025,MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,https://arxiv.org/pdf/2501.13011.pdf
2025,Monte Carlo Tree Diffusion for System 2 Planning,https://arxiv.org/pdf/2502.07202.pdf
2025,OBELiX: A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes,https://arxiv.org/pdf/2502.14234.pdf
2025,Offline Model-Based Optimization: Comprehensive Review,https://arxiv.org/pdf/2503.17286.pdf
2025,OSVI-WM: One-Shot Visual Imitation for Unseen Tasks using World-Model-Guided Trajectory Generation,https://arxiv.org/pdf/2505.20425.pdf
2025,Outsourced diffusion sampling: Efficient posterior inference in latent spaces of generative models,https://arxiv.org/pdf/2502.06999.pdf
2025,pLSTM: parallelizable Linear Source Transition Mark networks,https://arxiv.org/pdf/2506.11997.pdf
2025,Pre-trained Forecasting Models: Strong Zero-Shot Feature Extractors for Time Series Classification,https://arxiv.org/pdf/2510.26777.pdf
2025,"Price Formation in a Highly-Renewable, Sector-Coupled Energy System",https://arxiv.org/pdf/2509.10092.pdf
2025,Pursuing decarbonization and competitiveness: a narrow corridor for European green industrial transformation,https://arxiv.org/pdf/2510.08199.pdf
2025,PyPSA-DE: Open-source German energy system model reveals savings from integrated planning,https://arxiv.org/pdf/2510.09414.pdf
2025,Quantifying Skill and Chance: A Unified Framework for the Geometry of Games,https://arxiv.org/pdf/2511.11611.pdf
2025,QuantiPhy: A Quantitative Benchmark Evaluating Physical Reasoning Abilities of Vision-Language Models,https://arxiv.org/pdf/2512.19526.pdf
2025,RAGEN: Understanding Self-Evolution in LLM Agents via Multi-Turn Reinforcement Learning,https://arxiv.org/pdf/2504.20073.pdf
2025,Recursive Self-Aggregation Unlocks Deep Thinking in Large Language Models,https://arxiv.org/pdf/2509.26626.pdf
2025,Relative Trajectory Balance is equivalent to Trust-PCL,https://arxiv.org/pdf/2509.01632.pdf
2025,REMIND-PyPSA-Eur: Integrating power system flexibility into sector-coupled energy transition pathways,https://arxiv.org/pdf/2510.04388.pdf
2025,Repurposing 2D Diffusion Models with Gaussian Atlas for 3D Generation,https://arxiv.org/pdf/2503.15877.pdf
